date,Open_Price,High_Price,Low_Price,Volume,Close_Price
01-04-2021,150.59,150.9,148.95,1729074,150.71
01-05-2021,159.7,159.7,149.75,2248517,151.3
01-06-2021,159.7,159.7,145.58,1890161,151.22
01-07-2021,155,155,151.01,1184831,151.2
01-08-2021,168.88,168.88,151.73,1488219,152.88
01-11-2021,158,159.7,153.11,1714620,154.38
01-12-2021,154.44,155.47,153.9,1645477,155.32
01/13/2021,156.15,156.15,154.31,1524163,155.6
01/14/2021,155.5,155.92,154.52,1242536,155.76
01/15/2021,155.95,155.95,153.5,2219346,154.11
01/18/2021,160.25,164.8,152.08,2172716,152.56
01/19/2021,153.9,155.6,153.32,1986752,155.45
01/20/2021,155.42,156.85,155.12,1574034,156.75
01/21/2021,169.7,169.7,155.34,1966764,156.02
01/22/2021,156.98,156.99,153.7,2013987,153.91
01/25/2021,174.88,174.88,152.22,1877148,152.46
01/27/2021,157.7,157.7,140.2,3099586,149.48
01/28/2021,149,149,147,3724096,147.99
01/29/2021,164.74,164.74,145.6,4019948,146.1
02-01-2021,150,153,146.24,5752457,152.52
02-02-2021,154.33,162,153.12,5401586,156.1
02-03-2021,164.4,164.4,155.21,3184291,157.66
02-04-2021,174.7,174.7,156.51,2597296,158.69
02-05-2021,159.27,159.99,158.48,2162707,159.05
02-08-2021,179.7,179.7,159.35,3414992,161.03
02-09-2021,161.67,162.7,160.76,2186027,161.23
02-10-2021,161.83,161.92,160.15,2086456,161.46
02-11-2021,161.17,162.64,160.94,1130555,162.06
02-12-2021,162.35,162.7,161.3,1471633,162.17
02/15/2021,163.17,165,159.75,1390282,163.93
02/16/2021,169.88,169.88,162.71,2808707,163.54
02/17/2021,164.98,164.98,162.01,1633793,162.59
02/18/2021,172.59,172.59,161.57,1466832,161.89
02/19/2021,161.57,164.19,159.55,1924382,160.42
02/22/2021,160.75,162.19,156.71,4266735,157.18
02/23/2021,158.69,164.6,157.1,3376578,157.59
02/24/2021,157.59,163.85,157.1,1694856,160.15
02/25/2021,161.46,162.39,160.82,2078898,161.87
02/26/2021,157,163.62,154.55,6394687,156.15
03-01-2021,161.99,161.99,156.8,2262115,158.01
03-02-2021,159.41,159.99,158.01,1674905,159.57
03-03-2021,161.14,163.31,160.39,2774589,162.98
03-04-2021,165,165,160,1760533,161.2
03-05-2021,160.33,161.18,158.3,2004187,159.66
03-08-2021,163.64,183.6,159.66,1419094,160.04
03-09-2021,161.18,161.8,159.85,1483026,161.47
03-10-2021,164.94,164.94,161.56,1026447,162.16
03-12-2021,163.99,163.99,159.89,2695163,160.63
03/15/2021,161,161.01,158.1,2726411,159.96
03/16/2021,163.19,164.6,159,1194883,159.79
03/17/2021,183.48,183.48,157.52,2020012,157.88
03/18/2021,159.49,159.49,155.31,2566012,156.12
03/19/2021,158.59,158.59,153.86,2989141,157.87
03/22/2021,178.88,178.88,137.3,2249076,157.33
03/23/2021,178.48,178.48,157.16,2196154,158.35
03/24/2021,174.88,174.88,155.91,2880134,156.09
03/25/2021,156.53,156.55,153.25,4619262,153.86
03/26/2021,183.48,183.48,154.11,3133917,155.21
03/30/2021,179.88,179.88,153.81,3007515,158.42
03/31/2021,177.48,177.48,156.8,1770531,157.16
04-01-2021,137.05,177,137.05,1753952,158.7
04-05-2021,156.01,174,155.01,3825031,156.96
04-06-2021,152.3,159.98,152.1,1679649,157.39
04-07-2021,159.4,159.4,155.61,1490166,158.82
04-08-2021,159.8,160,154.1,1387673,158.87
04-09-2021,159.6,159.6,158.1,919771,158.78
04-12-2021,179.88,179.88,150.1,6958023,154.08
04/13/2021,174.88,174.88,153.45,2306251,155.5
04/15/2021,174.88,174.88,152.41,1757440,155.93
04/16/2021,154.95,157.18,154.45,1128520,156.42
04/19/2021,156.18,156.23,151.77,2725967,154.09
04/20/2021,132,156.49,132,2219957,153.29
04/22/2021,169.83,169.83,151.92,1575936,154.27
04/23/2021,161,161,151.25,1497148,153.86
04/26/2021,158.4,158.4,153.91,1445359,155.17
04/27/2021,163,163,152.35,1034413,156.83
04/28/2021,158.64,159.09,155.36,1587740,158.9
04/29/2021,161.14,161.14,157.81,1997771,159.1
04/30/2021,157.94,158.68,155.15,1610283,157
05-03-2021,156.49,157.42,154.56,1531614,156.97
05-04-2021,164,164,155.15,1378826,155.55
05-05-2021,158.9,158.9,151.35,1411068,156.81
05-06-2021,163.5,163.5,156.2,1048532,157.54
05-07-2021,159.4,159.4,155.2,1347683,158.53
05-10-2021,160.4,160.4,158.55,1811054,159.69
05-11-2021,159.2,159.31,157.74,1280124,158.94
05-12-2021,161.9,161.9,157.24,1450842,157.69
05/14/2021,158.99,169,156.57,1800545,157.47
05/17/2021,155.6,159.72,155.6,1344415,159.52
05/18/2021,161.9,161.9,160,1913546,161.37
